index	*ID	version	enabled	*Skip Generation	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Axe of Souls	98	0	1				1	1	36	27	wax	War Axe		9	25000	cblu	cblu						tinkerflag2		25	35	hit-skill	Battle Cry	5	5	skill	Howl	5	10	magicskill		1	3	swing2		20	30	dmg-mag		75	125	mana-kill		10	20	aura	Sanctuary	5	10																		0
Glowblast	99	0	1				1	1	6	8	lax	Large Axe		6	10000	lyel	lyel						tinkerflag2		25	35	kill-skill	Lightning Surge	33	1	ltng-min		1	1	ltng-max		50	500	gethit-skill	SNova	10	1	abs-ltng%		15	15	light		5	10																						0
Murderous Axe	100	0	1				1	1	14	14	bax	Broad Axe		7	15000	cred	cred		invbtxu				tinkerflag2		25	35	dmg%		170	210	str		25	25	dex		10	10	swing2		10	30	freeze		3	3	dmg-norm		15	30	deadly		30	30	crush		15	15	str/lvl	6												0
Lord of Carnage	101	0	1				1	1	22	19	btx	Battle Axe		8	20000	blac	blac		invbtxu				tinkerflag2		25	35	kill-skill	Fury Proc	20	15	dmg-min		30	50	dmg%		50	100	lifesteal		5	15	ignore-ac		1	1	str		20	40																						0
Raka's Folly	102	0	1				1	1	30	25	gax	Great Axe		9	25000	cgrn	cgrn		invgaxu				tinkerflag2		25	35	oskill	Poison Mastery	5	10	allskills		1	2	hit-skill	Poison Surge	5	10	dmg-pois	25	5120	10240	pierce-pois		5	10	move2		10	30	swing2		10	30																		0
The Annihilator	103	0	1				1	1	38	29	gix	Giant Axe		9	25000	blac	blac						tinkerflag2		25	35	dmg%		150	225	rep-dur	10			aura	Blessed Aim	2	5	deadly		25	25	att%		50	100	hit-skill	Amplify Damage	5	8	kill-skill	Concentrate Proc	25	10																		0
Axe of the Elements	104	0	1				1	1	29	36	9ha	Hatchet		8	20000	lpur	lpur		invhaxu				tinkerflag2		25	35	swing1		20	40	dmg-fire		300	600	dmg-fire/lvl	64			dmg-ltng		300	600	dmg-ltng/lvl	64			dmg-cold	600	300	600	dmg-cold/lvl	64			dmg-pois	25	6144	12288	dmg-pois/lvl	64			res-all		15	45	allskills		2	2		0
The Butcher's Cleaver	105	0	1				1	1	37	39	9ax	Cleaver		9	25000	blac			invaxeu				tinkerflag2		25	35	dmg%		180	230	dmg-min		20	30	str		20	30	ignore-ac		1	1	crush/lvl	4			dmg-max		30	50	swing3		25	25	str/lvl	4			allskills		1	1	oskill	Blade Nova	1	10	lifesteal		10	20		0
Double Bite	106	0	1				1	1	45	43	92a	Twin Axe		10	30000	oran	oran						tinkerflag2		25	35	hit-skill	Fire Surge	5	25	hit-skill	Lightning Surge	5	25	pierce-fire		10	15	pierce-ltng		10	15	swing2		20	30	dmg-fire		300	500	dmg-ltng		1	800																		0
Sadistic Warlord	107	0	1				1	1	53	45	9mp	Crowbill		11	35000	blac	blac		invmpiu				tinkerflag2		25	35	dmg%		500	500	ease		100	100	knock		1	1	red-dmg		10	30	deadly		20	20	hp		50	150	dmg-norm		20	40	kill-skill	Spike Nova Proc	8	20														0
Hacker	108	0	1				1	1	56	48	9wa	Naga		11	35000	cred	cred						tinkerflag2		25	35	dmg%		140	190	lifesteal		5	10	manasteal		5	10	allskills		1	1	swing2		30	30	dmg/lvl	16			bar		1	2	oskill	Natural Resistance	5	10	aura	Fanaticism	5	10										0
Wolf Claw	109	0	1				1	1	31	35	9la	Military Axe		9	25000	bwht	bwht						tinkerflag2		25	35	dmg%		150	225	dmg/lvl	12			att%		100	100	swing2		40	60	lifesteal		3	6	allskills		1	2	dex		10	30	skill	Shock Wave	4	10	skill	Fury	4	10	skill	Shape Shifting	4	10						0
Lifebane	110	0	1				1	1	39	39	9ba	Bearded Axe		9	25000	cred	cred						tinkerflag2		25	35	heal-kill		75	75	dmg-max		75	150	dmg%		100	200	swing2		20	40	sock		1	3																										0
Fleshchew	111	0	1				1	1	47	41	9bt	Tabar		10	30000	cred	cred		invbtxu				tinkerflag2		25	35	dmg%		200	300	hp		50	100	att		150	300	dmg/lvl	16			hit-skill	Amplify Damage	3	40	lifesteal		20	40	att/lvl	32			dmg-ac		-25	-50														0
Griswold's Revenge	112	0	1				1	1	50	42	9ga	Gothic Axe		11	35000	oran	oran		invgaxu				tinkerflag2		25	35	kill-skill	Spike Nova Cold	25	30	pierce-cold		20	30	ease		200	200	dmg%		200	300	lifesteal		10	20	hit-skill	Time Stop	1	10	red-dmg%		10	20	oskill	Bash	10	30	dmg-min		25	50	att-skill	Freezing Claws Proc	10	20						0
Lifecleaver	113	0	1				1	1	53	45	9gi	Ancient Axe		11	35000	cred	cred		inv9giu				tinkerflag2		25	35	oskill	Battle Orders	5	10	life-on-striking		3	5	swing2		60	80	dmg-min		75	150	deadly		50	50	kill-skill	Taunt	10	40																						0
Rohmshun	114	0	1				1	1	54	63	0ha	Barbarian Tomahawk		11	35000	dblu	dblu		invhaxu				tinkerflag2		25	35	hit-skill	Static Field	10	1	hit-skill	Lightning Surge	5	40	lightningskill		1	5	pierce-ltng		1	20	swing2		50	100	hit-skill	SCharged Strike Proc	1	60	dmg-max		1	500																		0
Alea Jacta Est	115	0	1				1	1	62	60	0ax	Precision Cleaver		12	40000	cred	cred		invaxeu				tinkerflag2		25	35	dmg%		230	280	lifesteal		10	30	allskills		1	1	att%		100	100	aura	Aura of Divinity	6	12	oskill	Valkyrie	1	30	Valkyrie Mastery		1	30	str		50	100	dex		50	100	oskill	Critical Strike	10	20	light		10	30		0
Thorgrim's Saviour	116	0	1				1	1	70	64	82a	Duo-Axe		13	45000	cblu	cblu						tinkerflag2		25	35	dmg%		150	250	balance2		50	50	hp%		40	40	att/lvl	32			hit-skill	Terror	2	60	sock		5	5	indestruct		1	1																		0
Gold Digger	117	0	1				1	1	73	68	0mp	Razor Axe		13	45000	lyel	lyel		invmpiu				tinkerflag2		25	35	dmg%		190	230	oskill	Find Potion	5	8	dmg/lvl	8			allskills		1	1	mag%/lvl	12			gold%/lvl	12			move3		40	40	swing2		60	60	oskill	Find Rejuvenation	5	8	oskill	Find Item	1	1						0
Iceshard	118	0	1				1	1	75	73	0wa	Viking Axe		13	45000	cblu	cblu						tinkerflag2		25	35	hit-skill	Blizzard	5	60	pierce-cold		10	30	aura	Cold Pierce Aura	10	30	mana-on-striking		3	5	kill-skill	Time Stop	17	60	ease		100	100	coldskill		3	5	res-cold-max		5	5	reduce-ac		50	50										0
Focus of Unlife	119	0	1				1	1	56	61	0la	Brawn Axe		11	35000	blac	blac						tinkerflag2		25	35	ignore-undead-resist		1	1	ignore-demon-resist		1	1	aura	Sanctuary	10	30	dmg-undead		500	800	dmg-demon		500	800	kill-skill	Magic Surge	17	50	magicskill		4	6	cast2		60	80	hit-skill	Bone Spear	15	60	dmg%		400	500	oskill	Berserk	10	20		0
Wicked Axe	120	0	1				1	1	64	63	0ba	Heavy Axe		12	40000	blac	blac						tinkerflag2		25	35	red-dmg%		20	40	hp%		30	50	dmg-min		200	250	aura	Concentration	10	20	dmg%		200	300	vit		100	200	lifesteal		20	40	regen		800	1000	mag%		150	200										0
Meat Cleaver	121	0	1				1	1	72	65	0bt	Split Axe		13	45000	cred	cred		invbtxu				tinkerflag2		25	35	dmg%		250	300	hp/lvl	32			oskill	Sword Mastery	20	30	dmg-ac		-100	-100	ease		50	50	att%		50	100	swing2		40	40	lifesteal		20	40	allskills		1	2	hit-skill	Concentrate Proc	5	60						0
Wings of the Fallen Phoenix	122	0	1				1	1	73	70	0ga	Guillotine Axe		13	45000	lgld			invgaxu				tinkerflag2		25	35	dmg%		150	200	regen		2000	2000	regen-mana		100	150	dmg-fire		1500	2000	abs-fire%		3	5	kill-skill	Fire Surge	25	60	oskill	Fire Mastery	1	1	fireskill		3	3	hp/lvl	32			pierce-fire		20	30	att-skill	Fire Wall	25	60		0
Barbaric Devastator	123	0	1				1	1	75	72	0gi	Slayer Axe		13	45000	dpur	dpur		inv9giu				tinkerflag2		25	35	dmg%		200	300	dmg%/lvl	20			ignore-ac		1	1	oskill	Natural Resistance	1	1	lifesteal		10	30	manasteal		5	15	swing3		30	30	allskills		2	2	deadly		100	100	reduce-ac		100	100		 				0
Frostarc	124	0	1				1	1	2	3	sbw	Short Bow		6	10000	cblu	cblu						tinkerflag2		25	35	dmg-cold	200	10	15	att		50	50	mana		10	20	skill	Cold Arrow	1	4	dmg-cold/lvl	32			mana/lvl	8			sock		1	2	knock		1	1	dmg-min		5	5	swing3		10	20						0
Firebrander	125	0	1				1	1	5	9	hbw	Hunter's Bow		6	10000	dred	dred						tinkerflag2		25	35	dmg-fire		20	40	att		100	100	dmg-fire/lvl	32			res-fire		20	20	res-fire/lvl	8			hit-skill	Fire Surge	5	1	dmg%		70	100																		0
Bakou's Sharpshooter	126	0	1				1	1	9	14	lbw	Long Bow		6	10000	dred	dred						tinkerflag2		25	35	swing2		30	30	att		100	200	deadly		100	100	dmg-min		20	30	dex		20	30																										0
Ancient Piercer	127	0	1				1	1	16	25	sbb	Short Battle Bow		7	15000	cred	cred						tinkerflag2		25	35	dmg-ac		-10	-10	hp		20	20	dmg-undead		200	200	swing2		30	30	pierce		50	50	skill	Inner Sight	10	10	regen-mana		40	40	dmg%		120	170	dmg-min		10	15	dmg-max	16	20							0
Plague Bearer Bow	128	0	1				1	1	12	20	cbw	Composite Bow		7	15000	lgrn	lgrn						tinkerflag2		25	35	gethit-skill	Poison Nova	17	5	hit-skill	Poison Surge	5	5	swing2		20	30	poisonskill		1	2	manasteal		5	10	dmg%		40	80	dmg-pois	256	500	500																		0
Quiveraiden	129	0	1				1	1	19	26	lbb	Long Battle Bow		7	15000	dgrn	dgrn						tinkerflag2		25	35	hit-skill	Arrow Hit Skill	5	10	allskills		1	1	dmg%		75	150	dmg/lvl	8			swing2		20	20	hit-skill	Inner Sight	3	15																						0
Sparkraven	130	0	1				1	1	23	27	swb	Short War Bow		8	20000	cgrn	cgrn						tinkerflag2		25	35	allskills		1	2	hit-skill	Lightning Surge	5	10	pierce		100	100	ignore-ac		1	1	att		100	300	pierce-ltng		5	15	oskill	Multiple Shot	5	10	manasteal		5	10														0
Bow of the Stars	131	0	1				1	1	33	28	lwb	Long War Bow		9	25000	lyel	lyel						tinkerflag2		25	35	hit-skill	Magic Arrow	5	10	ama		1	2	dmg%		100	200					dex/lvl	8			hp/lvl	8			mana/lvl	8			hit-skill	Evade	3	15														0
Rotstring	132	0	1				1	1	27	28	8sb	Edge Bow		8	20000	cgrn	cgrn						tinkerflag2		25	35	hit-skill	Fire Arrow	3	20	pierce-pois		10	15	dmg-pois	50	1536	3072	dmg-pois/lvl	80			dmg%		160	185	swing2		20	40	att		100	200																		0
Raven's Cord	133	0	1				1	1	30	31	8hb	Razor Bow		9	25000	lblu	lblu						tinkerflag2		25	35	swing2		60	80	hit-skill	Fire Enhanced Arrow	20	20	pierce-fire		10	20	mana-on-striking		1	1	dmg-min		20	30	dmg-max		31	50	ease		50	100																		0
Titan's Wake	134	0	1				1	1	34	33	8lb	CedarBow		9	25000	dgld	dgld						tinkerflag2		25	35	hit-skill	Wind Surge	5	40	ease		300	300	dmg%		300	400	oskill	Wind Mastery	5	10	hit-skill	Inner Sight	3	30	hit-skill	Sandstorm	5	30	oskill	Tornado Shot	20	30	move2		-20	-20	gethit-skill	Taunt	17	30	swing2		-20	-20	pierce		100	100		0
The Harp of Souls	135	0	1				1	1	37	36	8cb	Double Bow		9	25000	cred	cred						tinkerflag2		25	35	hit-skill	War Cry	3	30	extra-mag2		20	30	aura	Sanctuary	10	20	dmg-undead		100	300	dmg-demon		100	300	swing2		20	40	gethit-skill	Howl	5	30	heal-kill		30	50	red-dmg		10	30	oskill	Strafe	10	20						0
The Keening	136	0	1				1	1	41	39	8s8	Short Siege Bow		10	30000	cblu	cblu						tinkerflag2		25	35	pierce-cold		10	15	aura	Cold Damage Aura	5	10	swing2		30	40	res-cold		30	50	res-fire		30	50	dmg%		100	200	kill-skill	Freezing Arrow	25	30	skill	Sharpened Focus	5	15														0
Eaglehorn	137	0	1				1	1	44	41	8l8	Long Siege Bow		10	30000	lgry	lgry						tinkerflag2		25	35	dex		150	250	dexpercent		10	30	dmg%/lvl	16			ease		-100	-100	dmg-max		50	100	att%		100	100	swing2		100	100																		0
Zerae's Gift	138	0	1				1	1	48	43	8sw	Rune Bow		10	30000	dyel	dyel						tinkerflag2		25	35	kill-skill	Lightning Surge	25	40	skill	Ice Arrow	10	20	pierce-ltng		10	15	swing2		40	50	att		200	400	att%		100	200	aura	Lightning Damage Aura	2	8	ltng-min		1	1	ltng-max		500	1000										0
Heartseeker	139	0	1				1	1	54	46	8lw	Gothic Bow		11	35000	blac	blac						tinkerflag2		25	35	oskill	Legendary Arrow	10	20	oskill	Pierce	3	3	skill	Pierce	27	27	pierce		50	100	crush		50	50	dmg%/lvl	24			dmg/lvl	16																				0
Karaniis' Bow of Incandesence	140	0	1				1	1	52	59	1sb	Spiderwoven Bow		11	35000	cred	cred						tinkerflag2		25	35	hit-skill	Lightning Surge	5	50	kill-skill	Fire Surge	25	50	pierce-fire		10	20	pierce-ltng		10	20	hit-skill	Death Sentry	2	40	reduce-ac		50	100	oskill	Lightning Mastery	1	5	aura	Fire Damage Aura	5	10	swing2		30	50										0
Gnat Sting	141	0	1				1	1	55	61	1hb	Sharp Bow		11	35000	whit	whit						tinkerflag2		25	35	dmg%		270	310	hit-skill	Arrow Hit Skill	20	25	pierce		100	100	swing3		100	100	dmg-min		15	30																										0
Bloodraven's Arch	142	0	1				1	1	59	62	1lb	Shade Bow		11	35000	cred	cred						tinkerflag2		25	35	oskill	Summon Skeleton King	10	20	passive-summ-life		20	40	oskill	Skeleton Mastery	10	20	allskills		1	3	kill-skill	Raise Skeletal Mage	50	60	extra-summ		50	100	swing2		30	50	dmg%		300	400	att%		100	200	skill	Sharpened Focus	20	30						0
Moonbeam	143	0	1				1	1	62	65	1cb	Dark Bow		12	40000	whit	whit						tinkerflag2		25	35	hit-skill	Fist of the Heavens	5	60	oskill	Magic Mastery	1	10	swing2		40	60	hit-skill	Evade	3	60	move2		40	60	oskill	Slow Teleport	1	1	dodge		5	10	mana-on-striking		1	1														0
Undead's Blight	144	0	1				1	1	66	67	1s8	Rogue Bow		12	40000	whit	whit						tinkerflag2		25	35	dmg-undead		800	1000	att-undead		800	1000	aura	Sanctuary	20	30	hit-skill	Arrow of Confession	2	40	allskills		1	2	dmg%		200	250	dmg/lvl	24			ignore-undead-resist		1	1														0
Wild Airs of the Elements	145	0	1				1	1	69	70	1l8	Marksman Bow		12	40000	lblu	lblu						tinkerflag2		25	35	oskill	Elemental Fury	10	25	swing2		40	80	hit-skill	Fire Surge	6	60	hit-skill	Cold Surge	6	60	hit-skill	Lightning Surge	6	60	att		300	500	mana-kill		50	100	mana%		75	150	pierce-fire		15	30	pierce-cold		15	30	pierce-ltng		15	30		0
The Guardian	146	0	1				1	1	73	73	1sw	Arcane Bow		13	45000	lyel	lyel						tinkerflag2		25	35	dmg%		220	260	sock		5	5	swing2		60	60	lifesteal		20	30	red-dmg%		20	30	vit		150	150	aura	Defiance	10	15																		0
Enigma	147	0	1				1	1	83	77	1lw	Ancient Bow		13	45000	lgry	lgry						tinkerflag2		25	35	dmg%		300	350	hit-skill	Inner Sight	2	25	hit-skill	Decrepify	2	40	res-all		30	30	dmg/lvl	16			reduce-ac		25	25	swing2		20	20	oskill	Teleport	1	1														0
Rapid Frenzy	148	0	1				1	1	5	9	lxb	Light Crossbow		6	10000	dyel	dyel						tinkerflag2		25	35	dmg-norm		30	30	dex		10	20	hp		15	30	swing2		40	40	dex/lvl	4			hp/lvl	12			str		10	20	oskill	765	1	1														0
Firespitter	149	0	1				1	1	13	18	mxb	Crossbow		7	15000	lgld	lgld						tinkerflag2		25	35	hit-skill	Flameburst	10	5	dmg-fire		100	250	dmg-fire/lvl	32			abs-fire%		1	2	dmg%		60	100	oskill	765	1	1																						0
Polar Boltcaster	150	0	1				1	1	21	27	hxb	Heavy Crossbow		8	20000	dgld	dgld		invhxbu				tinkerflag2		25	35	swing2		20	40	res-all		10	20	res-cold		30	30	dmg-cold	300	100	200	dmg-cold/lvl	40			res-cold/lvl	8			kill-skill	Cold Surge	33	15	oskill	765	1	1														0
Unholy Dartgun	151	0	1				1	1	29	28	rxb	Repeating Crossbow		8	20000	lpur	lpur		invrxbu				tinkerflag2		25	35	hit-skill	Magic Enhanced Arrow	30	10	swing2		50	50	dmg-min		25	50	att		200	300	dmg-undead		100	200	dmg-demon		100	200	oskill	765	1	1																		0
The Needler	152	0	1				1	1	30	32	8lx	Arbalest		9	25000	dyel	dyel						tinkerflag2		25	35	att%		100	100	swing3		50	50	dmg%		100	100	slow		10	20	hit-skill	Arrow Hit Skill	40	30	oskill	765	1	1																						0
Cataclysm	153	0	1				1	1	38	36	8mx	Siege Crossbow		9	25000	dpur	dpur		invhxbu				tinkerflag2		25	35	dmg-fire		100	200	dmg-cold	100	140	160	dmg-ltng		1	300	pierce-fire		10	20	pierce-cold		10	20	pierce-ltng		10	20	swing2		20	30	hit-skill	Hailstorm	1	15	hit-skill	Lightning Strike	1	15	hit-skill	Inferno Fury	1	15	oskill	765	1	1		0
Magnium	154	0	1				1	1	46	41	8hx	Balista		10	30000	lred	lred		invrxbu				tinkerflag2		25	35	dmg%		400	500	hp		100	200	ease		100	100	dmg-norm		50	75	kill-skill	Spike Nova Proc	5	30	oskill	765	1	1																						0
Qotos Bow of Fortuitous Battle	155	0	1				1	1	54	49	8rx	Chu-Ko-Nu		11	35000	lgld	lgld						tinkerflag2		25	35	hit-skill	Quickness	1	60	hit-skill	Eagle Eye	1	60	dmg%		100	200	swing2		10	50	mag%		50	150	gold%		50	150	hit-skill	Stun Proc	1	40	oskill	765	1	1														0
Deadly Hunter	156	0	1				1	1	55	61	1lx	Choice Crossbow		11	35000	blac	blac						tinkerflag2		25	35	deadly		100	100	swing2		40	40	move2		60	60	dmg%		200	300	dmg-min		50	100	hit-skill	Decrepify	3	40	oskill	Blade Nova	10	20	oskill	765	1	1														0
Scope of the Hawk	157	0	1				1	1	63	78	1mx	Marksman Crossbow		12	40000	lgry	lgry						tinkerflag2		25	35	reduce-ac		50	100	att%		100	300	dmg%/lvl	40			dmg/lvl	16			aura	Fanaticism	5	15	lifesteal		10	20	swing2		30	40	kill-skill	Spike Nova Proc	10	40	oskill	765	1	1										0
Chaos Launcher	158	0	1				1	1	71	66	1hx	Odysseus Crossbow		13	45000	bwht	bwht		invhxbu				tinkerflag2		25	35	hit-skill	Freezing Arrow	2	60	hit-skill	Ice Arrow	2	60	hit-skill	Immolation Arrow	2	60	reduce-ac		100	100	pierce-fire		10	30	pierce-cold		10	30	pierce-ltng		10	30	oskill	Fire Mastery	1	1	oskill	370	1	1	oskill	Lightning Mastery	1	1	oskill	765	1	1		0
Deadly Precision	159	0	1				1	1	78	71	1rx	Assassin Crossbow		13	45000	blac	blac		invrxbu				tinkerflag2		25	35	dmg%		260	300	sock		1	3	crush		33	33	deadly		33	33	hit-skill	Arrow Hit Skill	25	50	dex/lvl	8			str/lvl	8			oskill	765	1	1														0
Yegg's Firedagger	160	0	1				1	1	2	4	dgr	Dagger		6	10000	dred			yeggs_firedagger				tinkerflag2		25	35	res-fire		45	45	dmg-fire		25	50	swing2		20	30	dmg-fire/lvl	40			att-skill	Fire Bolt	25	15																										0
Requier's Skill	161	0	1				1	1	10	11	dir	Dirk		7	15000	dgry	dgry						tinkerflag2		25	35	dmg%		90	180	allskills		1	1	block3		30	30	swing2		20	30	res-all		10	20	dmg/lvl	8																								0
The Golden Spike	162	0	1				1	1	19	19	kri	Kriss		7	15000	oran	oran						tinkerflag2		25	35	dmg-norm		15	20	att%		50	100	thorns/lvl	80			str		10	20	dmg-ltng/lvl	48			dmg-ltng		1	150	att-skill	Axe Mastery Proc	25	10	reanimate	690	100	100														0
Anguirel	163	0	1				1	1	28	25	bld	Blade		8	20000	dblu	dblu						tinkerflag2		25	35	swing2		15	25	res-all		20	20	att		150	150	mana		50	50	dmg-pois	256	500	1000	dmg-pois/lvl	40			hit-skill	Poison Surge	5	15																		0
Sirian's Infinite Knives	164	0	1				1	1	27	32	9dg	Poignard		8	20000	lgry	lgry						tinkerflag2		25	35	hit-skill	STwister	3	25	swing3		40	80	kill-skill	Crucify Proc	16	20	kill-skill	Spike Nova Proc	8	20	dmg-max		75	125	dmg%		75	125																						0
Trang'Oul's Claw	165	0	1				1	1	35	36	9di	Rondel		9	25000	dgry	dgry						tinkerflag2		25	35	res-pois-len		100	100	dmg%		125	180	light		-2	-2	att%		50	100	deadly		50	100	allskills		1	1	nec		2	3	dmg/lvl	10			pierce-pois		10	20										0
Wizardspike	166	0	1				1	1	44	38	9kr	Cinquedeas		10	30000	cblu	cblu						tinkerflag2		25	35	res-all		50	50	hit-skill	Teleport	2	1	hit-skill	Frozen Orb	1	20	hit-skill	Rain of Fire	1	20	hit-skill	Thunder Storm Sorc	1	20	pierce-fire		15	15	pierce-cold		15	15	pierce-ltng		15	15	extra-fire		10	25	extra-cold		10	25	extra-ltng		10	25		0
Throatslitter	167	0	1				1	1	49	41	9bl	Stilleto		10	30000	blac	blac						tinkerflag2		25	35	att-skill	Cobra Strike	50	20	crush		20	40	swing2		20	40	dmg-min		50	50	dmg%		75	125	heal-kill		25	50	dex		25	50	hp		75	150														0
The Horn of Balor	168	0	1				1	1	52	60	0dg	Carved Bone		11	35000	dpur	dpur						tinkerflag2		25	35	dmg/lvl	16			dmg-norm		40	60	dmg-ac		-150	-150	allskills		1	2	swing2		3	60	hit-skill	Crucify Proc	1	60	pierce-fire		20	40																		0
Rathma's Blade	169	0	1				1	1	60	61	0di	Mithral Knife		12	40000	oran	oran						tinkerflag2		25	35	oskill	Magic Mastery	5	10	kill-skill	Evade	25	60	skill	Bone Spirit	10	20	nec		1	3	cast2		30	50	mana-kill		20	40	oskill	Howl	10	20	reanimate	1003	15	30														0
Famine	170	0	1				1	1	69	65	0kr	Fang Knife		12	40000	blac	blac						tinkerflag2		25	35	life-on-striking		3	5	hit-skill	Decrepify	3	50	manasteal		20	40	red-dmg%		10	20	abs-mag		4	8	dmg%		300	500	aura	Fanaticism	5	10																		0
Mordenkainen's Dagger	171	0	1				1	1	76	69	0bl	Ancient Spike		13	45000	lgld	lgld						tinkerflag2		25	35	oskill	Summon Curse Immunity	1	1	mythicaldescnoflag	1046	1	1	passive-summ-limit		-2	-2	extra-summ		40	60	allskills		1	3	oskill	Enchant	3	3	skill	Enchant	17	27	pierce-res-all		10	20														0
Hail of Bolts	172	0	1				1	1	1	1	jav	Javelin		6	10000	lgry	lgry						tinkerflag2		25	35	rep-quant	33			swing3		100	100	lifesteal		2	2	manasteal		2	2	dmg/lvl	8																												0
LED	173	0	1				1	1	8	4	pil	Pilum		6	10000	cred	cred						tinkerflag2		25	35	rep-quant	33			oskill	Blaze	1	5	kill-skill	Fire Surge	100	1	dmg-fire		30	50	heal-kill		5	10	mana-kill		2	4	skill	Pyre Javelin	2	4																		0
Ric's Faith	174	0	1				1	1	14	9	ssp	Short Spear		7	15000	lgry	lgry						tinkerflag2		25	35	rep-quant	33			hit-skill	Lightning Surge	5	5	all-speeds		20	20	extra-ltng		5	10	dmg-max		40	60	lifesteal		3	5																						0
Free Lance	175	0	1				1	1	19	14	glv	Glaive		7	15000	whit	whit						tinkerflag2		25	35	rep-quant	33			ease		-100	-100	allskills		1	1	skilltab	2	1	1	str		15	30	dex		15	30	dmg-norm		15	30	swing2		20	40														0
Flying Impaler	176	0	1				1	1	25	19	tsp	Throwing Spear		8	20000	blac	blac						tinkerflag2		25	35	rep-quant	33			dmg/lvl	8			ignore-ac		1	1	pierce		100	100	skill	Splintering Javelin	5	10	dmg-max		15	20	manasteal		2	4	ease		50	50	swing2		20	20	dmg%		50	100						0
Gilded Spikes	177	0	1				1	1	28	25	9ja	War Javelin		8	20000	lgld	lgld						tinkerflag2		25	35	rep-quant	33			hit-skill	Lightning Enhanced Arrow	25	40	pierce-ltng		5	15	swing2		40	60	crush		20	30	dmg-norm		10	30	sock		1	2																		0
Septic Needle	178	0	1				1	1	33	32	9pi	Great Pilum		9	25000	dgry	dgry						tinkerflag2		25	35	rep-quant	33			pierce-pois		10	15	kill-skill	Poison Surge	33	20	skill	poisonskill	2	4	swing2		20	30	manasteal		5	10	slow		10	20	res-pois-len		75	75														0
Revenant's Spear of the Vampyr	179	0	1				1	1	39	35	9s9	Simbilan		9	25000	blac	blac						tinkerflag2		25	35	rep-quant	33			dmg%		150	200	deadly		33	33	dmg-undead		250	250	mana-kill		10	20	heal-kill		20	40	dmg-max		20	60	regen		-150	-150	hit-skill	Decrepify	5	20	dmg-demon		250	250						0
Futurebreeze	180	0	1				1	1	44	41	9gl	Spiculum		10	30000	whit	whit						tinkerflag2		25	35	rep-quant	33			oskill	Splintering Javelin	10	20	hit-skill	Frozen Orb	1	30	hit-skill	Blizzard	3	30	pierce-cold		10	15	swing2		20	30	mana-on-striking		1	2	att		100	200	att%		50	100										0
