skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Lightning Fury	35	ama	lightning fury		8													lightningfury	lightningfury	lightningfury			42371				16+lvl/7																																																																																		17						lightningfury	lightningfury	lightningfury										1	8		rng		thro										TH	TH	xx				1													1			1										30	20					Frost Javelin									1	1					1	7	20	1	1											(((stat('hitpoints'.accr)*3)<stat('maxhp'.accr))*(skill('Athulua Final Hunt Passive'.lvl)>0))?2:1				(((stat('hitpoints'.accr)*4)<stat('maxhp'.accr))*(skill('Athulua Final Hunt Passive'.lvl)>0))?2:1								2	lightning spells from target	1	extra spells/level	15	Target search radius									5	damage synergy									1								8	128														ltng	1						25	15	20	25	30	35	(skill('Splintering Javelin'.blvl)+skill('Pyre Javelin'.blvl)+skill('Plague Javelin'.blvl)+skill('Frost Javelin'.blvl))*par8								512	4000	0
Fire Bolt	36	sor	fire bolt		8													firebolt	firebolt	firebolt																																																																										sorceress_cast_fire											fire_cast_1				17						firebolt	firebolt	firebolt										1	1		none												SC	SC	SC																	1			1							sorceress_cast_fire			1	20														1	1					1	6	10	1	1											1+lvl/15	# missiles	par3	activation frame									0	number of missiles	0	additional missiles/level	0	Acivation frame of teeth									7	damage synergy									1								8															fire	2	2	3	4	6	8	4	4	6	8	12	16	(skill('Fire Ball'.blvl)+skill('Rain of Fire'.blvl)+skill('Nova'.blvl))*par8								512	4000	0
Warmth	37	sor	warmth																																											warmth			manarecoverybonus	ln12*(100+3*blvl)/100																																																																													1	0		none												SC	SC	xx																	1													1	20														0	0					0	8	0	0	1	1							1															30	increase in mana recovery	15	additional increase/level																					1								8															cold																					512	4000	0
Charged Bolt	38	sor	charged bolt		17													chargedbolt	chargedbolt	chargedbolt																																																																										sorceress_cast_lightning											light_cast_1				23						chargedbolt												1	1		none												SC	SC	xx																	1			1							sorceress_cast_lightning			1	20														1	1					1	5	16	4	1											"min(30,ln12/2)"	# bolts											6	Bolts to send out (1/2)	1	Additional bolts per level (1/2)											7	damage synergy									1								8															ltng	1						6	6	8	12	16	20	(skill('Lightning'.blvl)+skill('Thunder Storm Sorc'.blvl)+skill('Hydra'.blvl)+skill('Chain Lightning'.blvl))*par8								512	4000	0
Ice Bolt	39	sor	ice bolt		8													icebolt	icebolt	icebolt																																																																										sorceress_cast_cold											ice_cast_1				17						icebolt	icebolt	icebolt										1	1		none												SC	SC	SC																	1			1							sorceress_cast_cold			1	20														1	1					1	6	12	1	1											1+lvl/15	# missiles	par3	activation frame									0	number of missiles	0	additional missiles/level	0	Acivation frame of teeth							7		7	damage synergy									1								8															cold	1	1	2	3	5	7	2	2	4	6	10	14	(skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8	150	35	35	35	(skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7			512	4000	0
Frozen Armor	40	sor	frozen armor		18																			frozenarmor		(blvl<1)?(750+500*lvl):(3000+500*lvl)		skill_armor_percent	ln12+skill('Lightning Mastery'.blvl)*par8	passive_ltng_pierce	blvl*2/3+lvl/2	item_absorblight_percent	skill('Aerial Shield'.blvl)/2	item_allskills	lvl/20																																																											sorceress_cast_lightning				sorceress_frozenarmor							light_cast_1	frozenarmor_hit																					1	0		none												SC	SC	xx																	1			1			1				sorceress_cast_cold	ice_cast_1		1	20								1						1	1					1	7	22	1	1	1										ln56	freeze length											10	% AC base	5	% AC per level	3000	Duration	500	Duration per level	50	Freeze Frames	3	Freeze Frames per level	250	duration synergy	10	ac synergy									1								8															ltng																			1		512	4000	0
Meteor Shower	41	sor	meteor shower	13	29													meteorshower						thunderstorm		(blvl<1)?(750+500*lvl):(3000+500*lvl)																																																																				sorceress_thunder_cast											fire_cast_2						84				meteorshower												1	5		none												SC	SC	SC																	1			1										24	20					Fanatic Swing									1	1					1	8	19	1	1	1		1	clc5											((skill('Enchant'.blvl)+skill('Meteor Shower'.blvl))>39)*(stat('randomgenerator'.accr)>500)		clc3?1:5		max((15-clc6),775/(lvl+11))		((skill('Fanatic Swing'.blvl)+skill('Meteor Shower'.blvl))>39)*5		800	duration	200	additional duration/level	12	minimum repeat time	60	repeat time factor	0	min % repeat time	100	max % repeat time	25	radius	15	ar synergy									1	15		lvl*15+skill('Enchant'.blvl)*par8					8	13														fire																					512	4000	0
Teleport	42	sor	teleport		27										teleportimmolation																																																																															sorceress_teleport											teleport									teleportimmolation											1		1	0		none												SC	SC	xx																	1			1		1	2				sorceress_teleport	teleport		18	20								1						1	1					1	5	80	-1	1	1																(stat('item_teleportimmo'.accr)>0)?1:3																														1								8															ltng																					1023	20000	0
Telekinesis	43	sor	telekinesis	12	21																						par1																																																																			sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																						1	10		none												SC	SC	xx														1			1			1			4				sorceress_telekinesis			12	20					Static Field									1	1					1	6	28	-1	1	1																						25	On-screen cast range.	35	Chance to knockback/stun.											5	damage synergy									1				5	2	109		8															ltng	1						20	20	30	40	50	60	(skill('Time Stop'.blvl)+skill('Static Field'.blvl)+skill('Energy Shield'.blvl)+skill('Thunder Storm Sorc'.blvl))*par8								512	4000	0
Frost Nova	44	sor	frost nova		22													frostnova	frostnova	frostnova																																																																										sorceress_cast_cold											ice_cast_2				25						frostnova	frostnova	frostnova										1	6		none												SC	SC	SC																	1			36	10						sorceress_cast_cold			24	20					Glacial Spike									1	1					1	8	12	1	1																							9	radius of freeze	3	additional radius/level									4	freeze synergy	4	damage synergy									1								8															cold	2	1	2	3	4	5	3	2	3	4	5	6	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	200	25	25	25	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par7			512	4000	0
Elemental Fury	45	sor	elemental fury		116																			elementalfury				manarecoverybonus	-ln12	passive_cold_pierce	lvl*2	passive_fire_pierce	lvl*2	passive_ltng_pierce	lvl*2	item_fastercastrate	30+lvl*2	manarecovery	-lvl*20-100																																																							sorceress_cast_cold											ice_cast_2																						1	7		none												SC	SC	SC																	1			1			1				sorceress_cast_cold			30	20														1	1					1	8	0	0	1	1																						50	mana regen penalty	30	additional penalty											1										1								8																																				1023	8000	0
Fire Wall	46	sor	fire wall		8													firewave																																																																												sorceress_cast_fire															17						firewave												1	0		none												SC	SC	SC				1													1			1							sorceress_cast_fire			1	20														1	1					1	7	10	1	1											2+lvl/20																										6	damage synergy									1								4															fire	2	2	4	6	8	10	4	4	6	8	12	16	(skill('Blaze'.blvl)+skill('SEruption'.blvl)+skill('Nova'.blvl))*par8								512	4000	0
Fire Ball	47	sor	fire ball												fireball																																																																															sorceress_cast_fire											fire_cast_2									fireball													1	5		none												SC	SC	SC																	1			1							sorceress_cast_fire			12	20					Fire Bolt									1	1					1	7	10	1	1											4+lvl/6																										6	damage synergy									1								8															fire	4	4	7	10	13	16	8	8	12	16	20	24	(skill('Fire Bolt'.blvl)+skill('Rain of Fire'.blvl)+skill('Nova'.blvl))*par8								512	4000	0
Nova	48	sor	nova		22													nova	nova	nova																																																																										sorceress_cast_lightning											fire_cast_2				25						nova	nova	nova										1	2		none												SC	SC	SC																	1			36	10						sorceress_cast_lightning			24	20														1	1					1	8	15	1	1																							12	number of missiles	4	additional missiles per level											4	damage synergy									1								8															fire	3	2	3	4	5	6	4	3	4	5	6	7	(skill('Blaze'.blvl)+skill('SEruption'.blvl)+skill('Fire Wall'.blvl)+skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Rain of Fire'.blvl))*par8								512	4000	0
Lightning	49	sor	lightning												lightningbolt																																																																															sorceress_cast_lightning											light_cast_1									lightningbolt													1	6		none												SC	SC	SC				1													1			1							sorceress_cast_lightning			6	20					Charged Bolt									1	1					1	7	16	1	1																							10	minimum damage	20	max damage	4	increase in dam/level (min & max)									7	damage synergy									1								8															ltng	1						20	10	15	20	30	40	(skill('Charged Bolt'.blvl)+skill('Thunder Storm Sorc'.blvl)+skill('Hydra'.blvl)+skill('Chain Lightning'.blvl))*par8								512	4000	0
Shiver Armor	50	sor	shiver armor		18																			shiverarmor		(blvl<1)?(750+500*lvl):(3000+500*lvl)		skill_armor_percent	ln12+skill('Fire Mastery'.blvl)*par8	passive_fire_pierce	blvl*2/3+lvl/2	item_absorbfire_percent	skill('Aerial Shield'.blvl)/2	item_skill_cooldown	5+lvl/3																																																											sorceress_cast_fire				sorceress_shiverarmor							fire_cast_2	shiverarmor_hit													10	Sparkle Missile Delay	5	Sparkle Missile Radius	3	Sparkle Missile Height			1	0		none												SC	SC	xx																	1			1			1				sorceress_cast_cold	ice_cast_3		1	20								1						1	1					1	7	22	1	1	1																						10	% AC base	5	% AC per level	3000	Duration	500	Duration per level					250	duration synergy	10	ac synergy									1								8															fire																					512	4000	0
Blaze	51	sor	blaze		23													blaze	blaze	blaze				blaze		dm12	8+lvl/5																						velocitypercent	ln34																																												sorceress_cast_fire											fire_cast_2										blaze	blaze	blaze										1	3		none												SC	SC	xx																	1			1			1							6	20					Fire Wall									1	1					1	7	6	2	1																			skill('SEruption'.blvl)+skill('Fire Wall'.blvl)+skill('Nova'.blvl)	regular synergies	(skill('Blaze Synergy Enhancement'.lvl)>0)?(skill('Fire Synergies'.clc1)*par8):(clc5*par8)	all synergies	50	Buff Duration Min	500	Buff Duration Max	2	Velocity % baseline	2	Velocity % per level							6	Damage synergy									1								3															fire	2	1	2	3	4	5	3	2	3	4	6	8	clc6								512	4000	0
Enchant	52	sor	enchant		68													enchantcast						enchant	enchant	(blvl<1)?(750+500*lvl):(3000+500*lvl)		firemindam	enma*100/(100+stat('passive_fire_mastery'.accr))	firemaxdam	exma*100/(100+stat('passive_fire_mastery'.accr))	item_tohit_percent	toht																																																													sorceress_enchant															25						enchantcast												1	9		none												SC	SC	A1													1				1			1			1				sorceress_enchant			6	20								1						1	1					1	8	40	0	1	1																						3600	duration	500	duration per level											5	damage synergy									1	20		lvl*10					8															fire	3	3	3	6	6	6	6	6	6	12	12	12	(skill('Meteor Shower'.blvl)+skill('Fanatic Swing'.blvl))*par8								512	4000	0
Chain Lightning	53	sor	chain lightning		26													chainlightning	chainlightning	chainlightning							par1																																																																			sorceress_cast_lightning											light_cast_1				27						chainlightning	chainlightning	chainlightning										1	2		none												SC	SC	SC				1													1			151	96		4				sorceress_cast_lightning			24	20					Hydra									1	1					1	8	9	1	1											ln34 / par5	# hits											20	radius of jump to next target			26	bolts (5ths)	3	bolts per level (5ths)	5	5ths					5	damage synergy									1								8															ltng	1						10	5	15	20	25	30	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Thunder Storm Sorc'.blvl)+skill('Hydra'.blvl))*par8								512	4000	0
Static Field	54	sor	static field		20																		34691				min(ln12/2,30)																																																																			sorceress_cast_lightning											light_cast_1																						1	10		none												SC	SC	SC					4												1			1							sorceress_cast_lightning			1	20														1	1					1	8	5	1	1											10	damage %	exma*256	min damage									16	Base radius of effect.	1	Level radius bonus.	0	Minimum Damage.									6	min dmg synergy									1								8															ltng							3	3	4	6	8	10	(skill('Time Stop'.blvl)+skill('Telekinesis'.blvl)+skill('Energy Shield'.blvl)+skill('Thunder Storm Sorc'.blvl))*par8								512	4000	0
Glacial Spike	55	sor	glacial spike												glacialspike											ln34 * (100 + skill('Ice Bolt'.blvl) * par7) / 100	4+lvl/6																																																																			sorceress_cast_cold											ice_cast_2									glacialspike													1	7		none												SC	SC	SC																	1			1							sorceress_cast_cold			12	20					Ice Bolt									1	1					1	7	20	1	1																							5	radius	0	radius per level	50	freeze frames	3	freeze frames per level					6	freeze synergy	6	damage synergy									1								8															cold	2	2	5	8	11	14	6	6	10	14	18	22	(skill('Ice Bolt'.blvl)+skill('Blizzard'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8								512	4000	0
Rain of Fire	56	sor	meteor		123													svolcano									par1																																																																			sorceress_cast_fire				sorceress_meteor							fire_cast_2						91					svolcano											1	0		none												SC	SC	xx					4				1								1			1			4				sorceress_cast_fire	fire_cast_2		18	20					Fire Ball							clc6		1	1					1	8	50	3	1																	par2		max(1,((stat('item_corrupted'.accr)>19)*stat('item_aegis_of_corruption'.accr)*100))		max(40,(200*100-200*stat('item_skill_cooldown'.accr))/100)		12	debris range	2	delay between debris									5	damage synergy	5	fire damage synergy									1								8															fire	20	20	30	40	55	70	30	30	40	50	70	90	((100+(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Nova'.blvl))*par8)*(100+clc5)/100)-100								512	4000	0
Thunder Storm Sorc	57	sor	thunder storm		28													thunderstormcenter																																																																												sorceress_thunder_cast											light_cast_1				28						thunderstormcenter												1	5		none												SC	SC	SC																	1			1										30	20					Chain Lightning							clc6		1	1					1	8	50	3	1																			max(1,((stat('item_corrupted'.accr)>19)*stat('item_aegis_of_corruption'.accr)*100))		max(40,(200*100-200*stat('item_skill_cooldown'.accr))/100)		75	duration		additional duration/level		minimum repeat time		repeat time factor		min % repeat time		max % repeat time	20	radius	4	damage synergy									1								8															ltng	1						20	20	30	40	60	80	((100+(skill('Lightning'.blvl)+skill('Chain Lightning'.blvl)+skill('Charged Bolt'.blvl)+skill('Hydra'.blvl)+skill('Static Field'.blvl)+skill('Telekinesis'.blvl)+skill('Energy Shield'.blvl)+skill('Time Stop'.blvl))*par8)*(100+clc5)/100)-100								512	4000	0
Energy Shield	58	sor	energy shield		23																			energyshield		(blvl<1)?(750+500*lvl):(3000+500*lvl)														absorbdamage	24																																																					sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																						1	4		none												SC	SC	xx																	1			1			1							18	20					Charged Bolt	Telekinesis		1						1	1					1	8	5	1	1	1										"min(edmn,100)"	damage absorption	"max(75,par5-lvl*par7)*4/25"	ratio									3600	duration	1500	additional duration/level					225	mana consumption %			3	self mana consumption synergy	1	mana consumption synergy									1								8															ltng	25	2	2	1	1	1															1023	8000	0
Blizzard	59	sor	blizzard		28													blizzardcenter	blizzardcenter	blizzardcenter																																																																										sorceress_cast_cold											ice_cast_3				28						blizzardcenter												1	7		none												SC	SC	xx					4				1								1			1							sorceress_cast_cold	ice_cast_3		18	20					Glacial Spike	Stwister								1	1					1	8	10	1	1											min(par1+lvl/8,13)	Radius for Area of Effect	max(1,par3-lvl/15)	Missile Spawn Rate									7	Radius for Area of Effect			4	Missile Spawn Rate							5	freeze synergy	5	Damage synergy									1								8															cold	3	3	4	5	6	8	4	4	5	6	8	10	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par8	100				(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl)+skill('Frost Nova'.blvl)+skill('Frozen Orb'.blvl))*par7			512	4000	0
